,id,chave,rodada,equipe_mandante,equipe_visitante,is_finalizado,jogo_ficticio,hora_realizacao,jogo_id,data_realizacao,escalacao_equipe_mandante_id,escalacao_equipe_visitante_id,placar_oficial_mandante,placar_oficial_visitante,placar_penaltis_mandante,placar_penaltis_visitante,empate,suspenso,cancelado,wo,decisivo,publico_total,renda,renda_moeda,observacao,publico_pagante,ordem_na_chave,fase,sede,vencedor_jogo
137,8561,,14,Goias,Cuiaba,True,False,18:00:00,287695,2022-06-26,479629,479630,1,0,,,False,False,False,False,False,8871,124240.0,REAL,,7360,,101,177,32
138,8562,,14,Avai,Palmeiras,True,False,16:00:00,287696,2022-06-26,479623,479624,2,2,,,True,False,False,False,False,15233,819619.0,REAL,,13539,,101,100,
139,8563,,14,Athletico-PR,Bragantino,True,False,16:30:00,287697,2022-06-25,479611,479612,4,2,,,False,False,False,False,False,,293470.0,REAL,,16327,,101,49,44
140,8564,,15,America-MG,Goias,True,False,18:00:00,287718,2022-07-03,479705,479706,1,0,,,False,False,False,False,False,2339,45479.0,REAL,,1476,,101,39,38
141,8565,,15,Fluminense,Corinthians,True,False,16:30:00,287719,2022-07-02,479693,479694,4,0,,,False,False,False,False,False,44782,1293817.0,REAL,,41911,,101,28,20
142,8566,,15,Bragantino,Botafogo,True,False,20:00:00,287720,2022-07-04,479716,479717,0,1,,,False,False,False,False,False,,87950.0,REAL,,4509,,101,4,18
143,8567,,15,Palmeiras,Athletico-PR,True,False,21:00:00,287721,2022-07-02,479707,479708,0,2,,,False,False,False,False,False,,2320331.0,REAL,,39192,,101,11,44
144,8568,,15,Santos,Flamengo,True,False,19:00:00,287722,2022-07-02,479697,479698,1,2,,,False,False,False,False,False,,402345.0,REAL,,12464,,101,2,17
145,8569,,15,Juventude,CAM,True,False,16:30:00,287723,2022-07-02,479695,479696,1,2,,,False,False,False,False,False,6565,199920.0,REAL,,5828,,101,174,15
146,8570,,15,Ceara,Internacional,True,False,19:00:00,287724,2022-07-02,479699,479700,1,1,,,True,False,False,False,False,23283,180206.0,REAL,,23249,,101,99,
147,8571,,15,Atletico-GO,Sao Paulo,True,False,16:00:00,287725,2022-07-03,479703,479704,1,2,,,False,False,False,False,False,12089,577200.0,REAL,,10875,,101,113,4
148,8572,,15,Avai,Cuiaba,True,False,11:00:00,287726,2022-07-03,479701,479702,1,2,,,False,False,False,False,False,13103,287979.0,REAL,,11646,,101,100,357
149,8573,,15,Coritiba,Fortaleza,True,False,18:00:00,287727,2022-07-03,479711,479713,2,1,,,False,False,False,False,False,20156,258835.0,REAL,,18655,,101,111,40
